John Doe,john@example.com,555-1234,2,Describe your experience with Python.; How have you built REST APIs?; Can you discuss CI/CD pipeline management?
John Doe,john@example.com,555-1234,2,Describe your experience with Python.; How have you built REST APIs?; Can you discuss CI/CD pipeline management?
John Doe,john@example.com,+91-99999-99999,4,Describe your experience with Python.; How have you built REST APIs?; Can you discuss CI/CD pipeline management?
JOB-001,Alice Example,alice@example.com,+1-555-0100,17,5,12,0,Can you describe a project where you used python end-to-end? | Can you describe a project where you used fastapi end-to-end? | Can you describe a project where you used django end-to-end? | What do you consider your strongest contribution as a Backend Engineer so far? | Tell me about a time you dealt with a production issue or critical bug.
JOB-001,Bob Sample,bob@example.com,+1-555-0200,6,7,3,4,"Can you walk me through any experience you have with python, or how you would learn it quickly? | Can you walk me through any experience you have with rest, or how you would learn it quickly? | Can you describe a project where you used sql end-to-end? | Can you describe a project where you used docker end-to-end? | What do you consider your strongest contribution as a Backend Engineer so far? | Tell me about a time you dealt with a production issue or critical bug."
JOB-001,,,,0,0,0,6,"Can you walk me through any experience you have with python, or how you would learn it quickly? | Can you walk me through any experience you have with rest, or how you would learn it quickly? | Can you walk me through any experience you have with sql, or how you would learn it quickly? | Can you walk me through any experience you have with docker, or how you would learn it quickly? | What do you consider your strongest contribution as a Backend Engineer so far? | Tell me about a time you dealt with a production issue or critical bug."
JOB_002,1. Introduction,,,3,5,2,4,"Can you walk me through any experience you have with python, or how you would learn it quickly? | Can you walk me through any experience you have with sql, or how you would learn it quickly? | Can you walk me through any experience you have with docker, or how you would learn it quickly? | Can you describe a project where you used rest end-to-end? | What do you consider your strongest contribution as a Backend Engineer so far? | Tell me about a time you dealt with a production issue or critical bug."
JOB-001,Alice Example,alice@example.com,+1-555-0100,17,reject,5,12,0,Can you describe a project where you used python end-to-end? | Can you describe a project where you used fastapi end-to-end? | Can you describe a project where you used django end-to-end? | What do you consider your strongest contribution as a Backend Engineer so far? | Tell me about a time you dealt with a production issue or critical bug.
JOB-001,Bob Sample,bob@example.com,+1-555-0200,6,reject,7,3,4,"Can you walk me through any experience you have with python, or how you would learn it quickly? | Can you walk me through any experience you have with rest, or how you would learn it quickly? | Can you describe a project where you used sql end-to-end? | Can you describe a project where you used docker end-to-end? | What do you consider your strongest contribution as a Backend Engineer so far? | Tell me about a time you dealt with a production issue or critical bug."
JOB-001,1. Introduction,,,3,reject,5,2,4,"Can you walk me through any experience you have with python, or how you would learn it quickly? | Can you walk me through any experience you have with sql, or how you would learn it quickly? | Can you walk me through any experience you have with docker, or how you would learn it quickly? | Can you describe a project where you used rest end-to-end? | What do you consider your strongest contribution as a Backend Engineer so far? | Tell me about a time you dealt with a production issue or critical bug."
JOB-001,Alice Example,alice@example.com,+1-555-0100,47,shortlisted,10,50,13,"Can you walk me through any experience you have with aws, or how you would learn it quickly? | Can you walk me through any experience you have with kubernetes, or how you would learn it quickly? | Can you walk me through any experience you have with flask, or how you would learn it quickly? | Can you describe a project where you used api end-to-end? | Can you describe a project where you used django end-to-end? | Can you describe a project where you used docker end-to-end? | What do you consider your strongest contribution as a Backend Engineer so far? | Tell me about a time you dealt with a production issue or critical bug."
JOB-001,Bob Sample,bob@example.com,+1-555-0200,14,reject,14,30,30,"Can you walk me through any experience you have with python, or how you would learn it quickly? | Can you walk me through any experience you have with rest, or how you would learn it quickly? | Can you walk me through any experience you have with rest api, or how you would learn it quickly? | Can you walk me through any experience you have with api, or how you would learn it quickly? | Can you walk me through any experience you have with aws, or how you would learn it quickly? | Can you describe a project where you used docker end-to-end? | Can you describe a project where you used sql end-to-end? | What do you consider your strongest contribution as a Backend Engineer so far? | Tell me about a time you dealt with a production issue or critical bug."
JOB-001,1. Introduction,,,0,reject,10,10,33,"Can you walk me through any experience you have with python, or how you would learn it quickly? | Can you walk me through any experience you have with rest api, or how you would learn it quickly? | Can you walk me through any experience you have with api, or how you would learn it quickly? | Can you walk me through any experience you have with sql, or how you would learn it quickly? | Can you walk me through any experience you have with docker, or how you would learn it quickly? | Can you describe a project where you used rest end-to-end? | What do you consider your strongest contribution as a Backend Engineer so far? | Tell me about a time you dealt with a production issue or critical bug."
JOB-001,Alice Example,alice@example.com,+1-555-0100,47,shortlisted,10,50,13,"Can you walk me through any experience you have with aws, or how you would learn it quickly? | Can you walk me through any experience you have with kubernetes, or how you would learn it quickly? | Can you walk me through any experience you have with flask, or how you would learn it quickly? | Can you describe a project where you used api end-to-end? | Can you describe a project where you used django end-to-end? | Can you describe a project where you used docker end-to-end? | What do you consider your strongest contribution as a Backend Engineer so far? | Tell me about a time you dealt with a production issue or critical bug."
JOB-001,Bob Sample,bob@example.com,+1-555-0200,14,reject,14,30,30,"Can you walk me through any experience you have with python, or how you would learn it quickly? | Can you walk me through any experience you have with rest, or how you would learn it quickly? | Can you walk me through any experience you have with rest api, or how you would learn it quickly? | Can you walk me through any experience you have with api, or how you would learn it quickly? | Can you walk me through any experience you have with aws, or how you would learn it quickly? | Can you describe a project where you used docker end-to-end? | Can you describe a project where you used sql end-to-end? | What do you consider your strongest contribution as a Backend Engineer so far? | Tell me about a time you dealt with a production issue or critical bug."
JOB-001,1. Introduction,,,0,reject,10,10,33,"Can you walk me through any experience you have with python, or how you would learn it quickly? | Can you walk me through any experience you have with rest api, or how you would learn it quickly? | Can you walk me through any experience you have with api, or how you would learn it quickly? | Can you walk me through any experience you have with sql, or how you would learn it quickly? | Can you walk me through any experience you have with docker, or how you would learn it quickly? | Can you describe a project where you used rest end-to-end? | What do you consider your strongest contribution as a Backend Engineer so far? | Tell me about a time you dealt with a production issue or critical bug."
JOB_002,1. Introduction,,,0,reject,10,10,33,"Can you walk me through any experience you have with python, or how you would learn it quickly? | Can you walk me through any experience you have with rest api, or how you would learn it quickly? | Can you walk me through any experience you have with api, or how you would learn it quickly? | Can you walk me through any experience you have with sql, or how you would learn it quickly? | Can you walk me through any experience you have with docker, or how you would learn it quickly? | Can you describe a project where you used rest end-to-end? | What do you consider your strongest contribution as a Backend Engineer so far? | Tell me about a time you dealt with a production issue or critical bug."
